user,text,country,id
RoverPatapsco,"b""RT @drunkyfitzy: hey guys my left arm kinda tingly and numb but here's a picture of me looking hot at princeton https://t.co/XfW5tbue97""",France,1306703765786025990
BrutumF,b'@CloudyArchitect @guitarguy_Al @ClickThatFollow @Boyingtonfr @RealSteveCox @JoeBiden @M1cha31Patr1ck Oh now being a? https://t.co/SDAYKkJYBJ',France,1306703749101088768
coolkidbtw,b'@FRPsycho Imagine being uncircumcised',France,1306703631127687168
BurryLyndon,b'RT @kelliekelly23: How long until MSM wakes up to this truth by a black American..\n\nJust shows how indiscriminate BLM abuse can be...\n\n#mag?',France,1306703597334339586
DanBerky,"b""RT @janetmdh: @feliciasonmez Feed 'em propaganda from a young age, raise them on it and you can turn out Trump Youth, ready to fight &amp; die?""",France,1306703569186299905
NYFAgh,b'United fans dema lost? https://t.co/r0DFLIdprm',France,1306703490320826377
Tweetplug_ent,b'RT @Tee_Lhope: @ShyBloggerPR @Tweetplug_ent Tested and trusted.\nA great avenue ?',France,1306703469915639811
wantahusband40,"b'RT @lisakeb007: @zoeharcombe I know what you mean. If you strip away all the hysteria and just look at the statistics, none of what is goin?'",France,1306703464806768640
oasismanon,b'@MonsieurXLeaks Is the visual futuristic?',France,1306703461208199172
silentcurator,b'@xXxArachnexXx That?s literally been 90% of my account since forever',France,1306703446272245763
_Abercrombitch,b'@MTV @ladygaga Same here ? #911iscoming',France,1306703442765844486
JuliaScavo,"b'Back in 2012, training for the Central European Sommelier Championship which I eventually won by the end of Septemb? https://t.co/8nUw0U0dhH'",France,1306703379029258242
mathiashro,b'RT @cryptax: First death reported following a ransomware attack on a German hospital https://t.co/weOSylzFkN via @ZDNet &amp; @campuscodi #medi?',France,1306703367629045761
linaacbb,b'@g0l_ns tabuse',France,1306703356979810305
CinShel,b'RT @MouratoglouAcad: First hit on clay in 2020 ??\n\n@serenawilliams | @pmouratoglou https://t.co/wMsHHVp2u7',France,1306703236154490887
ElizabethLaimes,b'RT @OlivMcar: N I C E ?? #ILoveNice \n\n#Nice06 #CotedazurFrance #ExploreNiceCotedAzur #France #MagnifiqueFrance https://t.co/NlKRWTTYvW',France,1306703160489250816
coolkidbtw,b'@SumoHimself Pls don?t unfollow :(',France,1306703144844320768
RobZabra,b'@_AndreaMD Mince ! \n???',France,1306703062761984005
Ahurley2Hurley,b'RT @kelliekelly23: How long until MSM wakes up to this truth by a black American..\n\nJust shows how indiscriminate BLM abuse can be...\n\n#mag?',France,1306702963054968833
__0yasumi___,b'Ain?t gonna be surprised at this point https://t.co/E6a2LhIduR',France,1306702897325977607
newdaynewstory,b'RT @kelliekelly23: How long until MSM wakes up to this truth by a black American..\n\nJust shows how indiscriminate BLM abuse can be...\n\n#mag?',France,1306702880905330688
diavolo_red,b'@ORohitO @vintageredss Lol yeah lets just pretend everything is fine .',France,1306702867731034112
TRUTH77739033,"b""RT @janetmdh: @feliciasonmez Feed 'em propaganda from a young age, raise them on it and you can turn out Trump Youth, ready to fight &amp; die?""",France,1306702831337041932
janetmdh,b'@Doogsfx @feliciasonmez Exactly. And you can throw this into the mix -- their first test groups:\n\nhttps://t.co/C14tcC7Gzm',France,1306702810155810816
lolJotu1,b'IM SO HAPPY CAUSE THIS IS PROLLY LIKE MY 6TH PROMOS AND WAS 1-1 LOOOOL https://t.co/zSVheaEEhH',France,1306702791079936000
matcst6,b'@adriana_dmgs Ok le lactimel',France,1306702770347675648
kookrosmos,b'RT @kthsinsful: lying all day is exhausting i guess',France,1306702711203782658
folfizstupid,b'@HighImFoxx @MrConRem I wanna hear the good version of rental so bad',France,1306702710876581891
silentcurator,b'Manifestation is thinking about something with you conscious mind almost 90% of the time. That?s why I?m annoying y? https://t.co/FuHhlwlrOI',France,1306702634066292737
samuelfre06,b'18-Year-Old Lorenzo Musetti Wows in Win vs Nishikori! | Rome 2020 https://t.co/TiWrBh58kh',France,1306702601820356608
twitCaradoc,"b""RT @GuillaumeBauret: - Do you know how to put a frame on the wall ?\n\n- No, I don't have a clou""",France,1306702579985010688
MaelAndreFinck,b'Not me checking my work email at the bar',France,1306702559244156929
folfizstupid,b'@bovamike69 @aewial @MrConRem Good af but overheard',France,1306702554097647617
janetmdh,"b'RT @janetmdh: This is how it happens. How it happened in 1930\'s Germany, and how it is happening in America right now.\n""The constant motion?'",France,1306702521629638658
LuxuryDistricts,"b'Just posted a photo @ Monaco-Monte Carlo, France https://t.co/xKnnk9ZPwX'",France,1306702451505012736
DarioMaiocchi,b'an idea would be also to add #loki @grafana\nto be as receiver there',France,1306702440750817283
Kevin_Biot,b'@eljgales2 Lizard brain',France,1306702353337380866
iweez35,b'@karagozlvm Good night prend soin de toi?',France,1306702350367821828
my2centsay,"b'RT @janetmdh: @my2centsay @ThePubliusUSA Totally agree. Republicans impeached a Dem for lying about sex, and screamed bloody murder when a?'",France,1306702296890437632
marlislash,"b""i'm not sure, someone like the director of the effect did go far and realistic, we could be surprise https://t.co/6VPoijtVAw""",France,1306702219593633794
janetmdh,"b'@my2centsay @ThePubliusUSA Totally agree. Republicans impeached a Dem for lying about sex, and screamed bloody murd? https://t.co/CMs4tccrn8'",France,1306702201159651328
zorrodenizza,b'@regularunleaded Cher ?',France,1306702085350719490
kthsinsful,b'lying all day is exhausting i guess https://t.co/0QPfSR77mH',France,1306702042577207297
vins3_shouri,b'RT @Atarun: Head empty. Have some screenshots instead. ?\n???????\n#SheraandthePrincessesofPower #SheRaMovie #catradora #WeAreFriendsOfMara #?',France,1306702036742950913
JAlmosni,b'Poke @VeloTerritoires https://t.co/yFM9QeE9qD',France,1306702033492348933
folfizstupid,b'@MrConRem Don?t know',France,1306702011241582592
arborealkey,"b""@HenaoMonique @froggiiies I'm flattered.""",France,1306701968610488320
al2sf,b'@joelmchale Nope. I would if there would be a community movie @joelmchale',France,1306701953800515584
waynewrosalis,"b'@Charles28973069 Yes sir. You can remodel a house but, the foundation stays.'",France,1306701836708188160
folfizstupid,b'@ziph1x @rep1x Every juice fan has heard those songs',France,1306701831297531904
EdithFaraut,b'@elmusicfeelings Unforgettable',France,1306701826482491393
manyik99,"b""RT @janetmdh: @feliciasonmez Feed 'em propaganda from a young age, raise them on it and you can turn out Trump Youth, ready to fight &amp; die?""",France,1306701649759670272
aricstotle,"b'RT @CannesVibe: THE MAGIC FLAG MYSTERY ????? A captivating story, especially for dog lovers! https://t.co/JgZxXMbCLA   #MagicFlagMystery #C?'",France,1306701467601055744
phdabbas,b'RT @eglobalmark: Check this nice white paper describing our use cases featuring @FIWARE components based on @ETSI_STANDARDS #NGSILD specifi?',France,1306701460978184195
MarilenaMunaro,b'RT @MarilenaMunaro: If YOU ? ? Come To France ?? ?? Again.... ?? ? ? We DEMAND To See Your ?? Passport (s) ? ? ? TODAY. ? #IAMEUROPEAN #GRA?',France,1306701402505449472
DarioMaiocchi,b'promising \nhttps://t.co/3kWQx6DoLh',France,1306701371769585664
lanette67830,b'RT @kelliekelly23: How long until MSM wakes up to this truth by a black American..\n\nJust shows how indiscriminate BLM abuse can be...\n\n#mag?',France,1306701292446908417
pikachu_manchot,b'RT @TPourchaire: 2 wins ?\n8 podiums ?\n1 pole position ??\n1 title (Vice champion).\n\nWhat a season ???\n\n#RoadToF1 #F3 #TP21 https://t.co/3BJP?',France,1306701233684705280
eyelash_ailish,b'RT @eyelash_ailish: Is concealed carry just pregnant women trying to hide their bump?',France,1306701185777360897
diego4_46,b'RT @TPourchaire: 2 wins ?\n8 podiums ?\n1 pole position ??\n1 title (Vice champion).\n\nWhat a season ???\n\n#RoadToF1 #F3 #TP21 https://t.co/3BJP?',France,1306701170589798403
folfizstupid,b'@ziph1x @rep1x Everyone heard them dude ?',France,1306701148678750210
lumierezn,b'@oueenada Grrrr ton accent',France,1306701089740333058
Ritsukoo_,b'@jbrulemesreves vasy',France,1306701061873434627
Nico_Albt,b'@rueducommerce WTFAST',France,1306700925197844485
